Number,Journal tittle,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,African Journal Online (AJOL),SABINET Journal repository
956,Per Linguam : a Journal of Language Learning = Per Linguam : Tydskrif vir Taalaanleer,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
957,Personal Finance,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
958,Pharmacy Magazine,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
959,Phronimon,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
960,Phytophylactica,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
961,Plus 5no,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
962,Politeia,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
963,Practical Theology in South Africa = Praktiese Teologie in Suid-Afrika,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
964,Proceedings Ekklesiastikos Pharos,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
965,Proceedings Ekklesiastikos Pharos,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
966,Professional Nursing Today,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
967,Progressio,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
968,Psycho-analytic Psychotherapy in South Africa,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
969,Psychoanalytic Practice,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
970,Pythagoras,SABINET Journal repository,0,1,0,1,0,0,1,1,1,0,0,1
971,Quest,SABINET Journal repository,1,1,1,1,1,1,1,0,0,0,0,1
972,Reading & Writing - Journal of the Reading Association of South Africa,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
973,Red Meat / Rooivleis,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
974,ReSource,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
975,The Retail and Marketing Review,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
976,Review of Development Finance,SABINET Journal repository,0,1,0,1,0,0,1,1,0,0,0,1
977,Rhodes Journalism Review,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
978,Risk Management,SABINET Journal repository,1,1,1,1,0,0,0,0,1,0,0,1
979,Rostrum : Newsletter of the Entomological Society of Southern Africa,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
980,SA Crime Quarterly,SABINET Journal repository,1,0,0,1,1,1,1,0,1,0,0,1
981,SA Heart,SABINET Journal repository,1,0,0,1,1,1,1,0,1,0,0,1
982,SA Horseman,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
983,SA Irrigation = SA Besproeiing,SABINET Journal repository,0,0,0,0,0,0,0,0,1,0,0,1
984,SA Journal of Human Resource Management,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
985,SA Journal of Industrial Psychology,SABINET Journal repository,1,1,1,1,0,0,1,1,1,0,0,1
986,SA Journal of Oncology,SABINET Journal repository,0,0,0,0,0,0,1,1,1,0,0,1
987,SA Mercantile Law Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
988,SA Pharmaceutical Journal,SABINET Journal repository,0,1,0,1,0,0,1,0,1,0,0,1
989,SA Pharmacist's Assistant,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
990,SA Publiekreg = SA Public Law,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
991,SA Stud Breeder / SA Stoetteler,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
992,SA Waterbulletin,SABINET Journal repository,0,0,0,0,1,0,1,0,1,0,0,1
993,SABI Magazine – Tydskrif,SABINET Journal repository,1,0,0,1,0,0,1,0,1,0,0,1
994,SADC Law Journal,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
995,SAHARA : Journal of Social Aspects of HIV / AIDS Research Alliance,SABINET Journal repository,0,0,0,0,1,0,0,0,1,0,0,1
996,SAMUS : South African Journal of Musicology,SABINET Journal repository,0,0,0,0,0,0,1,0,1,0,0,1
